"","species","PORT","YEAR","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"171","Quillback","CI",2018,0.018005540166205,2.45233574057256e-05,0.0177935943060498,6.24177939561483e-05,NA,NA,NA,NA,NA,NA,NA,NA
"172","Tiger","CI",2018,0.0138504155124654,1.89439410576941e-05,0.00711743772241993,2.52384992953122e-05,NA,NA,NA,NA,NA,NA,NA,NA
"173","Yelloweye","CI",2018,0.0554016620498615,7.25829651761088e-05,0.0747330960854092,0.000246957358696065,NA,NA,NA,NA,NA,NA,NA,NA
"174","Black","Cordova",1999,0,0,0.333333333333333,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA
"175","Copper","Cordova",1999,0.0333333333333333,0.00111111111111111,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"176","DrkDsky","Cordova",1999,0.0666666666666667,0.0021455938697318,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"177","Quillback","Cordova",1999,0.3,0.00724137931034483,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"178","Yelloweye","Cordova",1999,0.6,0.00827586206896552,0.666666666666667,0.111111111111111,NA,NA,NA,NA,NA,NA,NA,NA
"179","Black","Kodiak",1996,0.924731182795699,0.000756558938706159,0.864583333333333,0.00123241045321637,NA,NA,NA,NA,NA,NA,NA,NA
"180","DrkDsky","Kodiak",1996,0.043010752688172,0.000447400302623576,0.125,0.00115131578947368,NA,NA,NA,NA,NA,NA,NA,NA
"181","Northern","Kodiak",1996,0.010752688172043,0.000115620302925194,0.0104166666666667,0.000108506944444444,NA,NA,NA,NA,NA,NA,NA,NA
"182","Yelloweye","Kodiak",1996,0.021505376344086,0.000228727121004187,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"183","Black","Kodiak",1997,0.760869565217391,0.00404326822096198,0.906976744186046,0.00200880784980298,NA,NA,NA,NA,NA,NA,NA,NA
"184","DrkDsky","Kodiak",1997,0.130434782608696,0.00252047889098929,0.0465116279069767,0.00105591181848618,NA,NA,NA,NA,NA,NA,NA,NA
"185","Yelloweye","Kodiak",1997,0.108695652173913,0.00215290905272002,0.0465116279069767,0.00105591181848618,NA,NA,NA,NA,NA,NA,NA,NA
"186","Black","Kodiak",1998,0.656488549618321,0.00173470256798734,0.835051546391753,0.00143479647146349,NA,NA,NA,NA,NA,NA,NA,NA
"187","DrkDsky","Kodiak",1998,0.175572519083969,0.00111343699712676,0.134020618556701,0.00120894887873313,NA,NA,NA,NA,NA,NA,NA,NA
"188","Yelloweye","Kodiak",1998,0.16793893129771,0.00107488805117148,0.0309278350515464,0.000312201084068445,NA,NA,NA,NA,NA,NA,NA,NA
